checkout_time,dwell_min,lane_id,avg_age,female_ratio,n_entries_in_window,age_group,gender_bucket
2026-05-21 16:05:55.882156+00:00,0.1939874331156413,,38.91384615384615,0.36923076923076925,65,30-50,mixed
2026-05-21 16:06:02.781153+00:00,0.2229363481203715,,38.69375,0.375,64,30-50,mixed
2026-05-21 16:06:16.364981+00:00,0.5353689193725586,,38.683076923076925,0.36923076923076925,65,30-50,mixed
2026-05-21 16:06:22.665998+00:00,0.6403454740842184,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:23.355987+00:00,0.27146658500035603,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:26.943345+00:00,0.28918532133102415,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:34.103948+00:00,0.21372167666753134,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:42.650796+00:00,0.3156922459602356,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:44.382402+00:00,0.1492420236269633,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:44.387356+00:00,1.0023738741874695,,38.6089552238806,0.373134328358209,67,30-50,mixed
2026-05-21 16:06:52.194687+00:00,0.11308366060256958,,38.7359375,0.375,64,30-50,mixed
2026-05-21 16:06:58.365075+00:00,0.32010201215744016,,38.7359375,0.375,64,30-50,mixed
2026-05-21 16:07:10.823061+00:00,0.24140756130218505,,38.7359375,0.375,64,30-50,mixed
2026-05-21 16:07:20.888431+00:00,0.2317919651667277,,38.77741935483871,0.3709677419354839,62,30-50,mixed
2026-05-21 16:07:24.711029+00:00,0.7129900813102722,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:27.587350+00:00,0.18618545134862263,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:31.518392+00:00,0.6794932166735331,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:32.570991+00:00,0.14860308170318604,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:33.266537+00:00,0.13054653406143188,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:36.678216+00:00,0.871164604028066,,39.015,0.38333333333333336,60,30-50,mixed
2026-05-21 16:07:39.410702+00:00,0.17330137491226197,,39.21864406779661,0.3728813559322034,59,30-50,mixed
2026-05-21 16:07:46.556052+00:00,0.19921756585439046,,39.21864406779661,0.3728813559322034,59,30-50,mixed
2026-05-21 16:07:50.167350+00:00,0.2882567008336385,,39.21864406779661,0.3728813559322034,59,30-50,mixed
2026-05-21 16:07:55.122823+00:00,0.645117994149526,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:07:57.263937+00:00,0.31439523299535116,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:07:59.189498+00:00,0.1737984339396159,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:07:59.195122+00:00,0.6218191425005595,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:08:00.965892+00:00,0.17479759057362873,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:08:16.108886+00:00,0.40909315745035807,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:08:17.864611+00:00,0.33520941734313964,,39.429310344827584,0.3620689655172414,58,30-50,mixed
2026-05-21 16:08:25.376399+00:00,0.34791218439737953,,39.085,0.35,60,30-50,mixed
2026-05-21 16:08:41.677422+00:00,0.2093665838241577,,37.82586206896552,0.3448275862068966,58,30-50,mixed
2026-05-21 16:08:44.352837+00:00,0.5241214990615845,,37.82586206896552,0.3448275862068966,58,30-50,mixed
2026-05-21 16:08:53.228650+00:00,0.19880714416503906,,37.60655737704918,0.36065573770491804,61,30-50,mixed
2026-05-21 16:09:02.284736+00:00,0.17879952987035116,,37.48412698412698,0.3492063492063492,63,30-50,mixed
2026-05-21 16:09:05.900657+00:00,0.18223451375961303,,37.3515625,0.34375,64,30-50,mixed
2026-05-21 16:09:24.935405+00:00,0.1707436402638753,,37.434375,0.328125,64,30-50,mostly male
2026-05-21 16:09:35.344165+00:00,0.6729344169298808,,37.41230769230769,0.3384615384615385,65,30-50,mixed
2026-05-21 16:09:40.264346+00:00,0.1367287039756775,,37.4921875,0.34375,64,30-50,mixed
2026-05-21 16:09:44.255804+00:00,1.2295628507932028,,37.37692307692308,0.3384615384615385,65,30-50,mixed
2026-05-21 16:09:44.261253+00:00,0.4821604649225871,,37.37692307692308,0.3384615384615385,65,30-50,mixed
2026-05-21 16:09:47.816797+00:00,0.1126696745554606,,37.37692307692308,0.3384615384615385,65,30-50,mixed
2026-05-21 16:10:05.987677+00:00,0.7461260437965394,,37.40149253731343,0.3582089552238806,67,30-50,mixed
2026-05-21 16:10:05.992870+00:00,0.3685522754987081,,37.40149253731343,0.3582089552238806,67,30-50,mixed
2026-05-21 16:10:06.699416+00:00,0.13411102692286173,,37.40149253731343,0.3582089552238806,67,30-50,mixed
2026-05-21 16:10:27.111949+00:00,0.7087666114171346,,37.66029411764706,0.35294117647058826,68,30-50,mixed
2026-05-21 16:10:29.234710+00:00,0.35205968221028644,,37.66029411764706,0.35294117647058826,68,30-50,mixed
2026-05-21 16:11:02.902690+00:00,0.6502134402592977,,37.86666666666667,0.34782608695652173,69,30-50,mixed
2026-05-21 16:11:43.277300+00:00,0.16187570095062256,,37.91111111111111,0.3611111111111111,72,30-50,mixed
2026-05-21 16:11:53.628424+00:00,0.2588736295700073,,37.91111111111111,0.3611111111111111,72,30-50,mixed
2026-05-21 16:11:54.362586+00:00,0.4748954176902771,,37.91111111111111,0.3611111111111111,72,30-50,mixed
2026-05-21 16:12:08.766153+00:00,0.36065164804458616,,37.954054054054055,0.3783783783783784,74,30-50,mixed
2026-05-21 16:12:31.500514+00:00,0.8600549976030986,,37.555263157894736,0.39473684210526316,76,30-50,mixed
