prediction_for,predicted_at,lead_minutes,predicted_arrivals,actual_arrivals,error,abs_error,predicted_wait_min,status,hour,day_of_week,date
2026-05-05 16:35:30.455359+00:00,2026-05-05 16:32:44.065290+00:00,2.8,13.0,19,-6.0,6.0,7.5,BUSY,16,Tuesday,2026-05-05
2026-05-05 16:38:30.455359+00:00,2026-05-05 16:32:44.065290+00:00,5.8,11.8,26,-14.2,14.2,4.5,OK,16,Tuesday,2026-05-05
2026-05-05 16:41:30.455359+00:00,2026-05-05 16:32:44.065290+00:00,8.8,11.2,19,-7.800000000000001,7.800000000000001,1.5,OK,16,Tuesday,2026-05-05
2026-05-05 16:44:06.402597+00:00,2026-05-05 16:41:18.270870+00:00,2.8,11.4,24,-12.6,12.6,4.5,OK,16,Tuesday,2026-05-05
2026-05-05 16:47:06.402597+00:00,2026-05-05 16:41:18.270870+00:00,5.8,11.2,18,-6.800000000000001,6.800000000000001,1.5,OK,16,Tuesday,2026-05-05
2026-05-05 16:50:06.402597+00:00,2026-05-05 16:41:18.270870+00:00,8.8,10.5,33,-22.5,22.5,0.0,OK,16,Tuesday,2026-05-05
2026-05-05 16:51:53.585559+00:00,2026-05-05 16:49:05.428546+00:00,2.8,8.3,20,-11.7,11.7,1.5,OK,16,Tuesday,2026-05-05
2026-05-05 16:55:14.726840+00:00,2026-05-05 16:52:26.074342+00:00,2.8,9.3,16,-6.699999999999999,6.699999999999999,7.5,BUSY,16,Tuesday,2026-05-05
2026-05-05 16:57:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,2.9,13.5,10,3.5,3.5,7.5,BUSY,16,Tuesday,2026-05-05
2026-05-05 17:00:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,5.9,12.5,18,-5.5,5.5,4.5,OK,17,Tuesday,2026-05-05
2026-05-05 17:03:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,8.9,13.3,17,-3.6999999999999993,3.6999999999999993,1.5,OK,17,Tuesday,2026-05-05
2026-05-05 17:06:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,11.9,13.5,13,0.5,0.5,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:09:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,14.9,13.3,14,-0.6999999999999993,0.6999999999999993,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:12:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,17.9,12.8,6,6.800000000000001,6.800000000000001,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:15:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,20.9,11.7,24,-12.3,12.3,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:18:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,23.9,11.0,20,-9.0,9.0,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:21:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,26.9,10.1,11,-0.9000000000000004,0.9000000000000004,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:24:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,29.9,9.9,7,2.9000000000000004,2.9000000000000004,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:27:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,32.9,9.2,15,-5.800000000000001,5.800000000000001,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:30:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,35.9,9.1,28,-18.9,18.9,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:33:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,38.9,8.5,20,-11.5,11.5,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:36:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,41.9,8.1,10,-1.9000000000000004,1.9000000000000004,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:39:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,44.9,7.7,11,-3.3,3.3,0.0,OK,17,Tuesday,2026-05-05
2026-05-05 17:42:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,47.9,7.4,11,-3.5999999999999996,3.5999999999999996,17.2,ALERT,17,Tuesday,2026-05-05
2026-05-05 17:45:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,50.9,7.3,12,-4.7,4.7,33.0,ALERT,17,Tuesday,2026-05-05
2026-05-05 17:48:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,53.9,6.9,7,-0.09999999999999964,0.09999999999999964,49.9,ALERT,17,Tuesday,2026-05-05
2026-05-05 17:51:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,56.9,6.7,23,-16.3,16.3,60.0,ALERT,17,Tuesday,2026-05-05
2026-05-05 17:54:33.465136+00:00,2026-05-05 16:54:41.340026+00:00,59.9,6.7,18,-11.3,11.3,60.0,ALERT,17,Tuesday,2026-05-05
2026-05-07 14:58:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-296.4,14.9,9,5.9,5.9,0.0,OK,14,Thursday,2026-05-07
2026-05-07 15:01:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-293.4,14.3,5,9.3,9.3,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:04:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-290.4,14.3,10,4.300000000000001,4.300000000000001,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:07:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-287.4,14.2,5,9.2,9.2,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:10:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-284.4,14.1,10,4.1,4.1,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:13:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-281.4,13.9,14,-0.09999999999999964,0.09999999999999964,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:16:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-278.4,14.0,20,-6.0,6.0,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:19:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-275.4,14.0,14,0.0,0.0,0.0,OK,15,Thursday,2026-05-07
2026-05-07 15:22:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-272.4,13.7,6,7.699999999999999,7.699999999999999,19.4,ALERT,15,Thursday,2026-05-07
2026-05-07 15:25:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-269.4,13.8,16,-2.1999999999999993,2.1999999999999993,37.8,ALERT,15,Thursday,2026-05-07
2026-05-07 15:28:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-266.4,13.6,16,-2.4000000000000004,2.4000000000000004,56.2,ALERT,15,Thursday,2026-05-07
2026-05-07 15:31:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-263.4,13.6,12,1.5999999999999996,1.5999999999999996,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:34:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-260.4,13.5,21,-7.5,7.5,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:37:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-257.4,13.4,13,0.40000000000000036,0.40000000000000036,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:40:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-254.4,13.3,16,-2.6999999999999993,2.6999999999999993,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:43:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-251.4,13.3,16,-2.6999999999999993,2.6999999999999993,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:46:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-248.4,13.3,21,-7.699999999999999,7.699999999999999,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:49:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-245.4,13.3,19,-5.699999999999999,5.699999999999999,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:52:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-242.4,13.4,15,-1.5999999999999996,1.5999999999999996,60.0,ALERT,15,Thursday,2026-05-07
2026-05-07 15:55:47.121396+00:00,2026-05-07 19:55:14.075083+00:00,-239.4,13.2,15,-1.8000000000000007,1.8000000000000007,60.0,ALERT,15,Thursday,2026-05-07
